"name","index","debut","file_name","old_id","old_group","order","external_path","ps",""
"Pikachu","91","2022/5/3","pm25.fFLYING_OKINAWA","25_oki","Pikachu_FLYING_OKINAWA","","","","image"
"Pikachu","92","2022/6/4","pm25.cGOFEST_2022_NOEVOLVE","25_fest22_06","Pikachu_GOFEST_2022","","","","image"
"Pikachu","93","2022/6/16","pm25.cTCG_2022_NOEVOLVE","25_tcg","Pikachu_TCG","","","","image"
"Pikachu","94","2022/7/6","pm25.cANNIVERSARY_2022_NOEVOLVE","25_22AN","Pikachu_22an","","","","image"
"Pikachu","95","2022/8/27","pm25.fGOFEST_2022","25_22FEST","Pikachu_22FEST","","","","image"
"Pikachu","96","2022/8/27","pm25.fWCS_2022","25_22fWCS","Pikachu_22fWCS","","","","image"
"Pikachu","97","2022/10/20","pm25.fFLYING_01","25_f01","Pikachu_f01","","","","image"
"Pikachu","98","2022/10/20","pm25.fTSHIRT_01","25_t01","Pikachu_t01","","","","image"
"Pikachu","99","2022/11/24","pm25.fTSHIRT_02","25_t02","Pikachu_t02","","","","image"
"Pikachu","100","2022/11/24","pm25.fFLYING_02","25_f02","Pikachu_f02","","","","image"
"Pikachu","101","2022/12/31","pm25.cJAN_2023_NOEVOLVE","25_j23","Pikachu_j23","","","","image"
"Pikachu","102","2022/12/31","pm25.cGOTOUR_2023_HAT","25_g23h","Pikachu_gotour_hat","","","","image"
"Pikachu","103","2022/12/31","pm25.cGOTOUR_2023_BANDANA","25_g23b","Pikachu_gotour_bandana","","","","image"
"Pikachu","104","2023/4/4","pm25.cSPRING_2023","25_23s","Pikachu_23s","","","","image"
"Pikachu","105","2023/7/28","pm25.fJEJU","25_23j","Pikachu_23j","","","","image"
"Pikachu","106","2023/8/4","pm25.fSUMMER_2023_E","25_23se","Pikachu_23sun","","","","image"
"Pikachu(A)","107","2023/8/4","pm25.fSUMMER_2023_A","25_23sa","Pikachu_23sun","","","","image"
"Pikachu(B)","108","2023/8/4","pm25.fSUMMER_2023_B","25_23sb","Pikachu_23sun","","","","image"
"Pikachu(C)","109","2023/8/4","pm25.fSUMMER_2023_C","25_23sc","Pikachu_23sun","","","","image"
"Pikachu(D)","110","2023/8/4","pm25.fSUMMER_2023_D","25_23sd","Pikachu_23sun","","","","image"
"Raichu","111","2023/4/4","pm26.cSPRING_2023","26_23s","Pikachu_23s","","","","image"
"Sandshrew","112","2018/12/6","pm27","27","Sandshrew","","","","image"
"Sandslash","113","2018/12/6","pm28","28","Sandshrew","","","","image"
"Sandshrew","114","2019/6/28","pm27.fALOLA","27_61","Sandshrew_61","","","","image"
"Sandslash","115","2019/6/28","pm28.fALOLA","28_61","Sandshrew_61","","","","image"
"Nidoran♀","116","2018/10/11","pm29","29","Nidoran Female","","","","image"
"Nidorina","117","2018/10/11","pm30","30","Nidoran Female","","","","image"
"Nidoqueen","118","2018/10/11","pm31","31","Nidoran Female","","","","image"
"Nidoran♂","119","2019/7/4","pm32","32","Nidoran Male","","","","image"
"Nidorino","120","2019/7/4","pm33","33","Nidoran Male","","","","image"
"Nidorino","121","2020/3/1","pm33.cJAN_2020_NOEVOLVE","33_11","Nidoran Male 11","","","","image"
"Nidoking","122","2019/7/4","pm34","34","Nidoran Male","","","","image"
"Clefairy","123","2019/2/13","pm35","35","Clefairy","","","","image"
"Clefable","124","2019/2/13","pm36","36","Clefairy","","","","image"
"Vulpix","125","2020/10/9","pm37","37","Vulpix","","","","image"
"Ninetales","126","2020/10/9","pm38","38","Vulpix","","","","image"
"Vulpix","127","2019/6/28","pm37.fALOLA","37_61","Vulpix_61","","","","image"
"Ninetales","128","2019/6/28","pm38.fALOLA","38_61","Vulpix_61","","","","image"
"Vulpix","129","2022/10/27","pm37.cFALL_2022","37c22","Vulpix_2022","","","","image"
"Ninetales","130","2022/10/27","pm38.cFALL_2022","38c22","Vulpix_2022","","","","image"
"Jigglypuff","131","2019/4/16","pm39","39","Jigglypuff","","","","image"
"Wigglytuff","132","2019/4/16","pm40","40","Jigglypuff","","","","image"
"Zubat","133","2019/7/25","pm41","41","Zubat","","","","image"
"Golbat","134","2019/7/25","pm42","42","Zubat","","","","image"
"Oddish","135","2019/10/3","pm43","43","Oddish","","","","image"
"Gloom","136","2019/10/3","pm44","44","Oddish","","","","image"
"Vileplume","137","2019/10/3","pm45","45","Oddish","","","","image"
"Paras","138","2021/2/20","pm46","46","Paras","","","","image"
"Parasect","139","2021/2/20","pm47","47","Paras","","","","image"
"Venonat","140","2020/5/1","pm48","48","Venonat","","","","image"
"Venomoth","141","2020/5/1","pm49","49","Venonat","","","","image"
"Diglett","142","2019/4/29","pm50","50","Diglett","","","","image"
"Dugtrio","143","2019/4/29","pm51","51","Diglett","","","","image"
"Diglett","144","2019/6/28","pm50.fALOLA","50_61","Diglett_61","","","","image"
"Dugtrio","145","2019/6/28","pm51.fALOLA","51_61","Diglett_61","","","","image"
"Diglett","146","2022/9/27","pm50.cFALL_2022","50_22n","Diglett_22n","","","","image"
"Dugtrio","147","2022/9/27","pm51.cFALL_2022","51_22n","Diglett_22n","","","","image"
"Meowth","148","2019/11/7","pm52","52","Meowth","","","","image"
"Persian","149","2019/11/7","pm53","53","Meowth","","","","image"
"Meowth","150","2019/6/28","pm52.fALOLA","52_61","Meowth_61","","","","image"
"Persian","151","2019/6/28","pm53.fALOLA","53_61","Meowth_61","","","","image"
"Meowth","152","2021/8/20","pm52.fGALARIAN","52_31","Meowth_31","","","","image"
"Perrserker","153","2021/8/20","pm863","863_31","Meowth_31","","","","image"
"Psyduck","154","2019/1/25","pm54","54","Psyduck","","","","image"
"Golduck","155","2019/1/25","pm55","55","Psyduck","","","","image"
"Mankey","156","2019/3/5","pm56","56","Mankey","","","","image"
"Primeape","157","2019/3/5","pm57","57","Mankey","","","","image"
"Growlithe","158","2018/9/1","pm58","58","Growlithe","","","","image"
"Arcanine","159","2018/9/1","pm59","59","Growlithe","","","","image"
"Poliwag","160","2019/8/6","pm60","60","Poliwag","","","","image"
"Poliwhirl","161","2019/8/6","pm61","61","Poliwag","","","","image"
"Poliwrath","162","2019/8/6","pm62","62","Poliwag","","","","image"
"Abra","163","2019/6/13","pm63","63","Abra","","","","image"
"Kadabra","164","2019/6/13","pm64","64","Abra","","","","image"
"Alakazam","165","2019/6/13","pm65","65","Abra","","","","image"
"Alakazam(M)","166","2022/9/6","pm65.fMEGA","65_51","Abra","","","","image"
"Machop","167","2019/3/5","pm66","66","Machop","","","","image"
"Machoke","168","2019/3/5","pm67","67","Machop","","","","image"
"Machamp","169","2019/3/5","pm68","68","Machop","","","","image"
"Bellsprout","170","2020/7/16","pm69","69","Bellsprout","","","","image"
"Weepinbell","171","2020/7/16","pm70","70","Bellsprout","","","","image"
"Victreebel","172","2020/7/16","pm71","71","Bellsprout","","","","image"
"Tentacool","173","2019/11/19","pm72","72","Tentacool","","","","image"
"Tentacruel","174","2019/11/19","pm73","73","Tentacool","","","","image"
"Geodude","175","2018/9/13","pm74","74","Geodude","","","","image"
"Graveler","176","2018/9/13","pm75","75","Geodude","","","","image"
"Golem","177","2018/9/13","pm76","76","Geodude","","","","image"
"Geodude","178","2019/6/28","pm74.fALOLA","74_61","Geodude_61","","","","image"
"Graveler","179","2019/6/28","pm75.fALOLA","75_61","Geodude_61","","","","image"
"Golem","180","2019/6/28","pm76.fALOLA","76_61","Geodude_61","","","","image"
"Ponyta","181","2018/11/5","pm77","77","Ponyta","","","","image"
"Rapidash","182","2018/11/5","pm78","78","Ponyta","","","","image"
"Ponyta","183","2021/5/11","pm77.fGALARIAN","77_31","Ponyta_31","","","","image"
"Rapidash","184","2021/5/11","pm78.fGALARIAN","78_31","Ponyta_31","","","","image"
"Ponyta","185","2021/7/17","pm77.fGALARIAN.cGOFEST_2021_NOEVOLVE","77_31_47","Ponyta_31_47","","","","image"
"Ponyta","186","2023/5/11","pm77.cSPRING_2023_VALOR","77_23s","Ponyta_23s","","","","image"
"Rapidash","187","2023/5/11","pm78.cSPRING_2023_VALOR","78_23s","Ponyta_23s","","","","image"
"Slowpoke","188","2020/11/16","pm79","79","Slowpoke","","","","image"
"Slowbro","189","2020/11/16","pm80","80","Slowpoke","","","","image"
"Slowbro(M)","190","2021/6/8","pm80.fMEGA","80_51","Slowpoke","","","","image"
"Slowpoke","191","","pm79.f2020","79_2020","Slowpoke_2020","","","","image"
"Slowbro","192","","pm80.f2021","80_2021","Slowpoke_2020","","","","image"
"Slowpoke","193","2023/3/18","pm79.fGALARIAN","79_51","Slowpoke_51","","","","image"
"Slowbro","194","2023/3/18","pm80.fGALARIAN","80_31","Slowpoke_51","","","","image"
"Magnemite","195","2018/11/16","pm81","81","Magnemite","","","","image"
"Magneton","196","2018/11/16","pm82","82","Magnemite","","","","image"
"Farfetch’d","197","2019/9/9","pm83","83","Farfetchd","","","","image"
"Farfetch’d","198","2021/8/20","pm83.fGALARIAN","83_31","Farfetchd_31","","","","image"
"Sirfetch'd","199","2021/8/20","pm865","865_31","Farfetchd_31","","","","image"
"Doduo","200","2020/9/21","pm84","84","Doduo","","","","image"
"Dodrio","201","2020/9/21","pm85","85","Doduo","","","","image"
"Seel","202","2019/5/1","pm86","86","Seel","","","","image"
"Dewgong","203","2019/5/1","pm87","87","Seel","","","","image"
"Grimer","204","2018/9/13","pm88","88","Grimer","","","","image"
"Muk","205","2018/9/13","pm89","89","Grimer","","","","image"
"Grimer","206","2019/6/28","pm88.fALOLA","88_61","Grimer_61","","","","image"
"Muk","207","2019/6/28","pm89.fALOLA","89_61","Grimer_61","","","","image"
"Shellder","208","2018/6/7","pm90","90","Shellder","","","","image"
"Cloyster","209","2018/6/7","pm91","91","Shellder","","","","image"
"Gastly","210","2018/11/3","pm92","92","Gastly","","","","image"
"Haunter","211","2018/11/3","pm93","93","Gastly","","","","image"
"Gengar","212","2018/11/3","pm94","94","Gastly","","","","image"
"Gengar(M)","213","2018/11/3","pm94.fMEGA","94_51","Gastly","","","","image"
"Gengar","214","2020/3/1","pm94.cJAN_2020_NOEVOLVE","94_11","Gastly_11","","","","image"
"Gengar","215","2020/10/23","pm94.fCOSTUME_2020","94_26","Gastly_26","","","","image"
"Gengar","216","2022/10/27","pm94.cFALL_2022_NOEVOLVE","94_c22","Gastly_2022","","","","image"
"Onix","217","2019/6/4","pm95","95","Onix","","","","image"
"Drowzee","218","2018/10/5","pm96","96","Drowzee","","","","image"
"Hypno","219","2018/10/5","pm97","97","Drowzee","","","","image"
"Krabby","220","2018/10/1","pm98","98","Krabby","","","","image"
"Kingler","221","2018/10/1","pm99","99","Krabby","","","","image"
"Voltorb","222","2020/5/8","pm100","100","Voltorb","","","","image"
"Electrode","223","2020/5/8","pm101","101","Voltorb","","","","image"
"Exeggcute","224","2020/4/8","pm102","102","Exeggcute","","","","image"
"Exeggutor","225","2020/4/8","pm103","103","Exeggcute","","","","image"
"Exeggutor","226","2020/4/8","pm103.fALOLA","103_61","Exeggcute","","","","image"
"Cubone","227","2018/11/5","pm104","104","Cubone","","","","image"
"Marowak","228","2018/11/5","pm105","105","Cubone","","","","image"
"Marowak","229","2018/11/5","pm105.fALOLA","105_61","Cubone","","","","image"
"Hitmonlee","230","2021/2/20","pm106","106","Tyrogue","","","","image"
"Hitmonchan","231","2021/2/20","pm107","107","Tyrogue","","","","image"
"Lickitung","232","2020/2/15","pm108","108","Lickitung","","","","image"
"Koffing","233","2019/7/25","pm109","109","Koffing","","","","image"
"Weezing","234","2019/7/25","pm110","110","Koffing","","","","image"
"Weezing","235","2021/8/20","pm110.fGALARIAN","110_31","Koffing_31","","","","image"
"Rhyhorn","236","2020/2/22","pm111","111","Rhyhorn","","","","image"
"Rhydon","237","2020/2/22","pm112","112","Rhyhorn","","","","image"
"Chansey","238","2020/2/13","pm113","113","Chansey","","","","image"
"Chansey","239","2021/4/4","pm113.cNOVEMBER_2018","113_07","Chansey_07","","","","image"
"Tangela","240","2020/7/24","pm114","114","Tangela","","","","image"
"Kangaskhan","241","2019/9/9","pm115","115","Kangaskhan","","","","image"
"Kangaskhan(M)","242","2022/4/29","pm115.fMEGA","115_51","Kangaskhan","","","","image"
"Horsea","243","2019/6/13","pm116","116","Horsea","","","","image"
"Seadra","244","2019/6/13","pm117","117","Horsea","","","","image"
"Goldeen","245","2020/11/23","pm118","118","Goldeen","","","","image"
"Seaking","246","2020/11/23","pm119","119","Goldeen","","","","image"
"Staryu","247","2020/8/7","pm120","120","Staryu","","","","image"
"Starmie","248","2020/8/7","pm121","121","Staryu","","","","image"
"Mr. Mime","249","2019/9/9","pm122","122","Mr Mime","","","","image"
"Mr. Mime","250","2022/12/1","pm122.fGALARIAN","122_31","Mr Mime_31","","","","image"
"Scyther","251","2019/4/2","pm123","123","Scyther","","","","image"
"Jynx","252","2019/2/13","pm124","124","Jynx","","","","image"
"Electabuzz","253","2018/11/15","pm125","125","Electabuzz","","","","image"
"Electabuzz","254","2023/5/2","pm125.cSPRING_2023_INSTINCT","125_2023s","Electabuzz_23s","","","","image"
"Magmar","255","2018/3/22","pm126","126","Magmar","","","","image"
"Pinsir","256","2018/11/1","pm127","127","Pinsir","","","","image"
"Pinsir(M)","257","2023/5/11","pm127.fMEGA","127_51","Pinsir","","","","image"
"Tauros","258","2019/9/9","pm128","128","Tauros","","","","image"
"Magikarp","259","2017/3/22","pm129","129","Magikarp","","","","image"
"Gyarados","260","2017/3/22","pm130","130","Magikarp","","","","image"
"Gyarados(M)","261","2017/3/22","pm130.fMEGA","130_51","Magikarp","","","","image"
"Lapras","262","2019/4/18","pm131","131","Lapras","","","","image"
"Lapras","263","2022/5/12","pm131.fCOSTUME_2020","131_2020","Lapras","","","","image"
"Lapras","264","2023/4/13","pm131.cSPRING_2023_MYSTIC","131_2023s","Lapras","","","","image"
"Ditto","265","2021/2/20","pm132","132","Ditto","","","","image"
"Eevee","266","2018/8/11","pm133","133","Eevee","","","","image"
"Eevee","267","2019/2/26","pm133.cNOVEMBER_2018","133_07","Eevee_07","","","","image"
"Eevee","268","2022/12/31","pm133.cHOLIDAY_2022","133_22h","Eevee_2022h","","","","image"
"Eevee","269","2020/2/25","pm133.cJAN_2020_NOEVOLVE","133_11","Eevee_11","","","","image"
"Eevee","270","2023/4/4","pm133.cSPRING_2023","133_23s","Eevee_23s","","","","image"
"Vaporeon","271","2018/8/11","pm134","134","Eevee","","","","image"
"Vaporeon","272","2019/2/26","pm134.cNOVEMBER_2018","134_07","Eevee_07","","","","image"
"Vaporeon","273","2022/12/31","pm134.cHOLIDAY_2022","134_22h","Eevee_2022h","","","","image"
"Vaporeon","274","2023/4/4","pm134.cSPRING_2023","134_23s","Eevee_23s","","","","image"
"Jolteon","275","2018/8/11","pm135","135","Eevee","","","","image"
"Jolteon","276","2019/2/26","pm135.cNOVEMBER_2018","135_07","Eevee_07","","","","image"
"Jolteon","277","2022/12/31","pm135.cHOLIDAY_2022","135_22h","Eevee_2022h","","","","image"
"Jolteon","278","2023/4/4","pm135.cSPRING_2023","135_23s","Eevee_23s","","","","image"
"Flareon","279","2018/8/11","pm136","136","Eevee","","","","image"
"Flareon","280","2019/2/26","pm136.cNOVEMBER_2018","136_07","Eevee_07","","","","image"
"Flareon","281","2022/12/31","pm136.cHOLIDAY_2022","136_22h","Eevee_2022h","","","","image"
"Flareon","282","2023/4/4","pm136.cSPRING_2023","136_23s","Eevee_23s","","","","image"
"Porygon","283","2020/9/19","pm137","137","Porygon","","","","image"
"Omanyte","284","2018/5/24","pm138","138","Omanyte","","","","image"
"Omastar","285","2018/5/24","pm139","139","Omanyte","","","","image"
"Kabuto","286","2018/5/24","pm140","140","Kabuto","","","","image"
"Kabutops","287","2018/5/24","pm141","141","Kabuto","","","","image"
"Aerodactyl","288","2018/5/2","pm142","142","Aerodactyl","","","","image"
"Aerodactyl(M)","289","2023/1/25","pm142.fMEGA","142_51","Aerodactyl","","","","image"
"Snorlax","290","2021/2/20","pm143","143","Snorlax","","","","image"
"Snorlax","291","2022/7/16","pm143.cGOFEST_2022_NOEVOLVE","143_22","Snorlax","","","","image"
"Snorlax(zZ)","292","2023/7/15","pm143.cNIGHTCAP","143_23","Snorlax","","https://drive.google.com/uc?id=1wp59lFup9oRGVY4pZ8T5Q37mBOJGRwBH","","image"
"Articuno","293","2018/7/7","pm144","144","Articuno","","","","image"
"Zapdos","294","2018/7/21","pm145","145","Zapdos","","","","image"
"Moltres","295","2018/9/8","pm146","146","Moltres","","","","image"
"Dratini","296","2018/2/24","pm147","147","Dratini","","","","image"
"Dragonair","297","2018/2/24","pm148","148","Dratini","","","","image"
"Dragonite","298","2018/2/24","pm149","149","Dratini","","","","image"
"Mewtwo","299","2019/9/16","pm150","150","Mewtwo","","","","image"
"Mew","300","2021/2/20","pm151","151","Mew","","","","image"
"Chikorita","301","2018/9/22","pm152","152","Chikorita","","","","image"
"Bayleef","302","2018/9/22","pm153","153","Chikorita","","","","image"
"Meganium","303","2018/9/22","pm154","154","Chikorita","","","","image"
"Cyndaquil","304","2018/11/10","pm155","155","Cyndaquil","","","","image"
"Quilava","305","2018/11/10","pm156","156","Cyndaquil","","","","image"
"Typhlosion","306","2018/11/10","pm157","157","Cyndaquil","","","","image"
"Totodile","307","2019/1/12","pm158","158","Totodile","","","","image"
"Croconaw","308","2019/1/12","pm159","159","Totodile","","","","image"
"Feraligatr","309","2019/1/12","pm160","160","Totodile","","","","image"
"Sentret","310","2019/9/2","pm161","161","Sentret","","","","image"
"Furret","311","2019/9/2","pm162","162","Sentret","","","","image"
"Hoothoot","312","2022/1/1","pm163","163","Hoothoot","","","","image"
"Hoothoot","313","2022/1/1","pm163.cJAN_2022_NOEVOLVE","163_202201","Hoothoot_2022","","","","image"
"Noctowl","314","2022/1/1","pm164","164","Hoothoot","","","","image"
"Noctowl","315","2022/12/31","pm164.cJAN_2022_NOEVOLVE","164_202201","Hoothoot_2022","","","","image"
"Ledyba","316","2020/9/10","pm165","165","Ledyba","","","","image"
"Ledian","317","2020/9/10","pm166","166","Ledyba","","","","image"
"Spinarak","318","2021/10/15","pm167","167","Spinarak","","","","image"
"Ariados","319","2021/10/15","pm168","168","Spinarak","","","","image"
"Crobat","320","2019/7/25","pm169","169","Zubat","","","","image"
"Chinchou","321","2020/4/17","pm170","170","Chinchou","","","","image"
"Lanturn","322","2020/4/17","pm171","171","Chinchou","","","","image"
"Pichu","323","2017/8/15","pm172","172","Pikachu","","","","image"
"Pichu","324","2017/2/26","pm172.cANNIVERSARY","172_02","Pikachu_02","","","","image"
"Pichu","325","2017/6/6","pm172.cONE_YEAR_ANNIVERSARY","172_03","Pikachu_03","","","","image"
"Pichu","326","2017/10/20","pm172.cHALLOWEEN_2017","172_04","Pikachu_04","","","","image"
"Pichu","327","2018/7/5","pm172.cSUMMER_2018","172_05","Pikachu_05","","","","image"
"Pichu","328","2019/12/24","pm172.cWINTER_2018","172_08","Pikachu_08","","","","image"
"Pichu","329","2016/12/25","pm172.cHOLIDAY_2016","172_01","Pikachu_01","","","","image"
"Pichu","330","2019/2/26","pm172.cNOVEMBER_2018","172_07","Pikachu_07","","","","image"
"Pichu","331","2020/12/29","pm172.cCOSTUME_2","172_28","Pikachu_28","","","","image"
"Pichu","332","2023/4/4","pm172.cSPRING_2023","172_23s","Pikachu_23s","","","","image"
"Cleffa","333","2019/2/13","pm173","173","Clefairy","","","","image"
"Igglybuff","334","2019/4/16","pm174","174","Jigglypuff","","","","image"
